Refdate;TYU19 Comdty;TYZ19 Comdty;TYH20 Comdty;TYM20 Comdty;TYU0 Comdty;Qtt; Daily PX ;Daily P&L;; USD ; Contract Size ;; Delta ;;;;;index;CRNCY;FUT_FIRST_TRADE_DT;FUT_NOTICE_FIRST;PARSEKYABLE_DES;SECURITY_NAME
06/04/2020;;;;138.40625;138.03125;-1; 138.4063 ; 0.73 ;;; 100,000.00 ;-7.00 ;-968,843.75 ;;;;;;;;;;
07/04/2020;;;;137.90625;137.71875;-1; 137.9063 ; 0.50 ;;; 100,000.00 ;-7.00 ;-965,343.75 ;;;;;;;;;;
08/04/2020;;;;137.84375;137.65625;-1; 137.8438 ; 0.06 ;;; 100,000.00 ;-7.00 ;-964,906.25 ;;;;;;;;;;
09/04/2020;;;;138.25;138.0625;-1; 138.2500 ;-0.41 ;;; 100,000.00 ;-7.00 ;-967,750.00 ;;;;;;;;;;
13/04/2020;;;;138.078125;137.859375;-1; 138.0781 ; 0.17 ;;; 100,000.00 ;-7.00 ;-966,546.88 ;;;;;;;;;;
14/04/2020;;;;138.21875;137.953125;-1; 138.2188 ;-0.14 ;;; 100,000.00 ;-7.00 ;-967,531.25 ;;;;;;;;;;
15/04/2020;;;;139.15625;138.9375;-1; 139.1563 ;-0.94 ;;; 100,000.00 ;-7.00 ;-974,093.75 ;;;;;;;;;;
16/04/2020;;;;139.234375;139.015625;-1; 139.2344 ;-0.08 ;;; 100,000.00 ;-7.00 ;-974,640.63 ;;;;;;;;;;
17/04/2020;;;;138.890625;138.6875;-1; 138.8906 ; 0.34 ;;; 100,000.00 ;-7.00 ;-972,234.38 ;;;;;;;;;;
20/04/2020;;;;139.109375;138.90625;-1; 139.1094 ;-0.22 ;;; 100,000.00 ;-7.00 ;-973,765.63 ;;;;;;;;;;
21/04/2020;;;;139.390625;139.203125;-1; 139.3906 ;-0.28 ;;; 100,000.00 ;-7.00 ;-975,734.38 ;;;;;;;;;;
22/04/2020;;;;139.046875;138.84375;-1; 139.0469 ; 0.34 ;;; 100,000.00 ;-7.00 ;-973,328.13 ;;;;;;;;;;
23/04/2020;;;;139.015625;138.8125;-1; 139.0156 ; 0.03 ;;; 100,000.00 ;-7.00 ;-973,109.38 ;;;;;;;;;;
24/04/2020;;;;139.109375;138.90625;-1; 139.1094 ;-0.09 ;;; 100,000.00 ;-7.00 ;-973,765.63 ;;;;;;;;;;
27/04/2020;;;;138.65625;138.4375;-1; 138.6563 ; 0.45 ;;; 100,000.00 ;-7.00 ;-970,593.75 ;;;;;;;;;;
28/04/2020;;;;139.015625;138.8125;-1; 139.0156 ;-0.36 ;;; 100,000.00 ;-7.00 ;-973,109.38 ;;;;;;;;;;
29/04/2020;;;;138.96875;138.75;-1; 138.9688 ; 0.05 ;;; 100,000.00 ;-7.00 ;-972,781.25 ;;;;;;;;;;
30/04/2020;;;;139.0625;138.84375;-1; 139.0625 ;-0.09 ;;; 100,000.00 ;-7.00 ;-973,437.50 ;;;;;;;;;;
01/05/2020;;;;138.875;138.640625;-1; 138.8750 ; 0.19 ;;; 100,000.00 ;-7.00 ;-972,125.00 ;;;;;;;;;;
04/05/2020;;;;138.96875;138.734375;-1; 138.9688 ;-0.09 ;;; 100,000.00 ;-7.00 ;-972,781.25 ;;;;;;;;;;
05/05/2020;;;;138.859375;138.625;-1; 138.8594 ; 0.11 ;;; 100,000.00 ;-7.00 ;-972,015.63 ;;;;;;;;;;
06/05/2020;;;;138.546875;138.296875;-1; 138.5469 ; 0.31 ;;; 100,000.00 ;-7.00 ;-969,828.13 ;;;;;;;;;;
07/05/2020;;;;139.296875;139.0625;-1; 139.2969 ;-0.75 ;;; 100,000.00 ;-7.00 ;-975,078.13 ;;;;;;;;;;
08/05/2020;;;;138.953125;138.703125;-1; 138.9531 ; 0.34 ;;; 100,000.00 ;-7.00 ;-972,671.88 ;;;;;;;;;;
11/05/2020;;;;138.625;138.375;-1; 138.6250 ; 0.33 ;;; 100,000.00 ;-7.00 ;-970,375.00 ;;;;;;;;;;
12/05/2020;;;;138.953125;138.703125;-1; 138.9531 ;-0.33 ;;; 100,000.00 ;-7.00 ;-972,671.88 ;;;;;;;;;;
13/05/2020;;;;139.21875;138.984375;-1; 139.2188 ;-0.27 ;;; 100,000.00 ;-7.00 ;-974,531.25 ;;;;;;;;;;
14/05/2020;;;;139.421875;139.1875;-1; 139.4219 ;-0.20 ;;; 100,000.00 ;-7.00 ;-975,953.13 ;;;;;;;;;;
15/05/2020;;;;139.328125;139.09375;-1; 139.3281 ; 0.09 ;;; 100,000.00 ;-7.00 ;-975,296.88 ;;;;;;;;;;
18/05/2020;;;;138.59375;138.3125;-1; 138.5938 ; 0.73 ;;; 100,000.00 ;-7.00 ;-970,156.25 ;;;;;;;;;;
19/05/2020;;;;138.859375;138.578125;-1; 138.8594 ;-0.27 ;;; 100,000.00 ;-7.00 ;-972,015.63 ;;;;;;;;;;
20/05/2020;;;;139.078125;138.78125;-1; 139.0781 ;-0.22 ;;; 100,000.00 ;-7.00 ;-973,546.88 ;;;;;;;;;;
21/05/2020;;;;139.0625;138.78125;-1; 139.0625 ; 0.02 ;;; 100,000.00 ;-7.00 ;-973,437.50 ;;;;;;;;;;
22/05/2020;;;;139.15625;138.890625;-1; 139.1563 ;-0.09 ;;; 100,000.00 ;-7.00 ;-974,093.75 ;;;;;;;;;;
26/05/2020;;;;138.953125;138.6875;-1; 138.9531 ; 0.20 ;;; 100,000.00 ;-7.00 ;-972,671.88 ;;;;;;;;;;
27/05/2020;;;;139.125;138.84375;-1; 139.1250 ;-0.17 ;;; 100,000.00 ;-7.00 ;-973,875.00 ;;;;;;;;;;
28/05/2020;;;;138.953125;138.65625;-1; 138.9531 ; 0.17 ;;; 100,000.00 ;-7.00 ;-972,671.88 ;;;;;;;;;;
29/05/2020;;;;139.375;139.0625;-1; 139.3750 ;-0.73 ;-0.3125;; 100,000.00 ;-7.00 ;-975,625.00 ;;;;;;;;;;
01/06/2020;;;;139.328125;139.015625;-1; 139.0156 ; 0.05 ;;; 100,000.00 ;-7.00 ;-973,109.38 ;;;;;;;;;;
02/06/2020;;;;139.1875;138.859375;-1; 138.8594 ; 0.16 ;;; 100,000.00 ;-7.00 ;-972,015.63 ;;;;;;;;;;
03/06/2020;;;;138.5625;138.1875;-1; 138.1875 ; 0.67 ;;; 100,000.00 ;-7.00 ;-967,312.50 ;;;;;;;;;;
04/06/2020;;;;138.203125;137.796875;-1; 137.7969 ; 0.39 ;;; 100,000.00 ;-7.00 ;-964,578.13 ;;;;;;;;;;
05/06/2020;;;;137.546875;137.09375;-1; 137.0938 ; 0.70 ;;; 100,000.00 ;-7.00 ;-959,656.25 ;;;;;;;;;;
08/06/2020;;;;137.734375;137.296875;-1; 137.2969 ;-0.20 ;;; 100,000.00 ;-7.00 ;-961,078.13 ;;;;;;;;;;
09/06/2020;;;;138.15625;137.71875;-1; 137.7188 ;-0.42 ;;; 100,000.00 ;-7.00 ;-964,031.25 ;;;;;;;;;;
10/06/2020;;;;138.875;138.484375;-1; 138.4844 ;-0.77 ;;; 100,000.00 ;-7.00 ;-969,390.63 ;;;;;;;;;;
11/06/2020;;;;139.421875;139.046875;-1; 139.0469 ;-0.56 ;;; 100,000.00 ;-7.00 ;-973,328.13 ;;;;;;;;;;
12/06/2020;;;;139.109375;138.734375;-1; 138.7344 ; 0.31 ;;; 100,000.00 ;-7.00 ;-971,140.63 ;;;;;;;;;;
15/06/2020;;;;139.109375;138.734375;-1; 138.7344 ; -   ;;; 100,000.00 ;-7.00 ;-971,140.63 ;;;;;;;;;;
16/06/2020;;;;138.796875;138.4375;-1; 138.4375 ; 0.30 ;;; 100,000.00 ;-7.00 ;-969,062.50 ;;;;;;;;;;
17/06/2020;;;;138.96875;138.59375;-1; 138.5938 ;-0.16 ;;; 100,000.00 ;-7.00 ;-970,156.25 ;;;;;;;;;;
18/06/2020;;;;139.203125;138.828125;-1; 138.8281 ;-0.23 ;;; 100,000.00 ;-7.00 ;-971,796.88 ;;;;;;;;;;
19/06/2020;;;;139.15625;138.78125;-1; 138.7813 ; 0.05 ;;; 100,000.00 ;-7.00 ;-971,468.75 ;;;;;;;;;;
22/06/2020;;;;;138.703125;-1; 138.7031 ; 0.08 ;;; 100,000.00 ;-7.00 ;-970,921.88 ;;;;;;;;;;
23/06/2020;;;;;138.75;-1; 138.7500 ;-0.05 ;;; 100,000.00 ;-7.00 ;-971,250.00 ;;;;;;;;;;
;;;;;;;;-10.16 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;-7.94%;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
